Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1936,HUN,0,25.3,177.96666666666667,71.96666666666667,13,30,0,30,0,1,29
1936,IND,0,22.0,165.0,54.0,0,1,0,1,0,0,1
1936,ITA,0,24.419354838709676,174.80645161290323,70.54838709677419,64,31,0,18,13,0,31
1936,JPN,0,23.303030303030305,169.6969696969697,58.90909090909091,16,33,0,32,1,1,32
1936,LAT,0,25.0,183.0,74.0,0,1,0,1,0,0,1
1936,LUX,0,25.956521739130434,175.0,74.82608695652173,0,23,8,12,3,0,23
1936,MON,0,26.333333333333332,166.66666666666666,87.66666666666667,0,3,0,3,0,0,3
1936,NED,0,22.75,180.125,74.625,2,16,0,16,0,2,14
1936,NOR,0,28.0,179.5,77.8,4,10,0,10,0,1,9
1936,NZL,0,22.666666666666668,172.66666666666666,65.33333333333333,4,3,0,3,0,0,3
1936,PER,0,24.0,168.5,62.5,0,2,0,1,1,0,2
1936,PHI,0,25.166666666666668,174.83333333333334,65.33333333333333,1,6,0,5,1,0,6
1936,POL,0,27.11340206185567,173.61855670103094,71.20618556701031,14,97,7,68,22,10,87
1936,POR,0,34.0,167.0,62.0,1,2,0,2,0,0,2
1936,RSA,0,22.5,189.0,81.0,0,4,0,4,0,0,4
1936,SUI,0,26.846153846153847,177.07692307692307,66.92307692307692,5,13,0,10,3,0,13
1936,SWE,0,24.825,182.15,77.6,15,40,0,40,0,1,39
1936,TCH,0,25.76923076923077,180.23076923076923,80.15384615384616,2,26,0,24,2,0,26
1936,USA,0,24.048,179.384,72.504,165,125,8,97,20,18,107
1936,YUG,0,26.0,179.9,75.65,0,20,0,20,0,5,15
1948,ARG,0,26.032258064516128,175.90322580645162,73.70967741935483,8,31,0,30,1,5,26
1948,AUS,0,22.470588235294116,180.35294117647058,72.11764705882354,4,17,0,17,0,4,13
1948,AUT,0,26.875,175.375,73.625,8,8,0,6,2,3,5
1948,BEL,0,33.22222222222222,177.55555555555554,70.88888888888889,4,9,0,7,2,0,9
1948,BRA,0,23.22222222222222,180.44444444444446,71.88888888888889,2,9,0,7,2,3,6
1948,CAN,0,23.444444444444443,181.5,72.72222222222223,4,18,0,12,6,0,18
1948,CHI,0,21.444444444444443,177.44444444444446,67.0,0,18,0,18,0,6,12
1948,COL,0,18.0,170.0,63.0,0,2,0,2,0,0,2
1948,CUB,0,24.25,169.125,71.375,2,8,0,8,0,0,8
1948,DEN,0,25.416666666666668,174.25,68.91666666666667,8,12,0,8,4,3,9
1948,ESP,0,31.9,171.8,75.0,0,10,0,10,0,0,10
1948,FIN,0,28.8,175.464,69.556,58,125,16,109,0,5,120
1948,FRA,0,24.962264150943398,176.0,72.49056603773585,60,106,8,81,17,12,94
1948,GBR,65,25.450704225352112,173.1267605633803,67.84507042253522,15,71,8,57,6,23,48
1948,GRE,0,25.46153846153846,174.07692307692307,66.84615384615384,0,13,0,13,0,0,13
1948,HUN,0,25.813953488372093,177.97674418604652,73.37209302325581,34,43,1,28,14,5,38
